Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Galium aparine,2765924,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Rubiaceae,Galium,,,1.0,,,,,,
Tadorna tadorna,166197940,Least Concern,Stable,Animalia,Chordata,Aves,Anseriformes,Anatidae,Tadorna,,1.0,2.0,1.0,,,2.0,2.0,
Erigeron canadensis,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Erigeron,,,1.0,,,,,,
Cyanistes caeruleus,264532201,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Paridae,Cyanistes,,,2.0,13.0,18.0,17.0,8.0,3.0,4.0
Limosa lapponica,166245372,Least Concern,Stable,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,,2.0,,,,,1.0,,
Saxifraga tridactylites,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Saxifragaceae,Saxifraga,,,1.0,,,,,,
Hypera postica,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Hypera,,1.0,,,,,,,
Scolopax rusticola,166241741,Least Concern,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Scolopax,,,,,,,,,1.0
Notodonta ziczac,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Lepidoptera,Notodontidae,Notodonta,,,1.0,,,,,,
Capsella bursa-pastoris,2758177,Least Concern,Stable,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Capsella,,,1.0,,,,,,
Anthus petrosus,166407009,Least Concern,Unknown,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,,,,,1.0,,,1.0,1.0
Aegithalos caudatus,264587236,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Aegithalidae,Aegithalos,,2.0,,2.0,2.0,6.0,4.0,3.0,2.0
Turdus philomelos,166346863,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,,,,,,1.0,3.0,2.0,2.0
Otiorhynchus aurifer,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Otiorhynchus,,,,,,,1.0,,
Orthotrichum anomalum,87727352,Least Concern,Stable,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,,,1.0,,,,,,
Polyozosia albescens,Not Found,Unknown,Unknown,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Lecanoraceae,Polyozosia,,,,,,,,,1.0
Turritellinella tricarinata,Not Found,Unknown,Unknown,Animalia,Mollusca,Gastropoda,Unknown,Turritellidae,Turritellinella,2.0,,,,,,,,
