Species Name,Assessment ID,Red List Category,Population Trend,Kingdom,Phylum,Class,Order,Family,Genus,Observations_2015,Observations_2016,Observations_2017,Observations_2018,Observations_2019,Observations_2020,Observations_2021,Observations_2022,Observations_2023
Fagus sylvatica,62004725,Least Concern,Unknown,Plantae,Tracheophyta,Magnoliopsida,Fagales,Fagaceae,Fagus,3.0,,,,,,,,
Phragmites australis,140439343,Least Concern,Stable,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Phragmites,3.0,,,1.0,3.0,6.0,,2.0,
Heteromyza rotundicornis,Not Found,Unknown,Unknown,Animalia,Arthropoda,Insecta,Diptera,Heleomyzidae,Heteromyza,,,,1.0,,,,,
Bucephala clangula,166209537,Least Concern,Decreasing,Animalia,Chordata,Aves,Anseriformes,Anatidae,Bucephala,,,4.0,3.0,2.0,1.0,,3.0,1.0
Turdus pilaris,264547173,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,,,2.0,1.0,,,1.0,1.0,2.0
Cettia cetti,264547885,Least Concern,Stable,Animalia,Chordata,Aves,Passeriformes,Cettiidae,Cettia,,,4.0,,,,,,
Calidris alpina,255846610,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,,,,,1.0,,,,
Frullania dilatata,87770133,Least Concern,Stable,Plantae,Marchantiophyta,Jungermanniopsida,Porellales,Frullaniaceae,Frullania,,2.0,,,,,,,
Centaurea nigra,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,3.0,,,1.0,,,,,
Meles meles,45203002,Least Concern,Stable,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Meles,,1.0,,,,,,1.0,
Numenius arquata,166247142,Near Threatened,Decreasing,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,,,2.0,1.0,,,,,
Microneta viaria,Not Found,Unknown,Unknown,Animalia,Arthropoda,Arachnida,Araneae,Linyphiidae,Microneta,,,,2.0,,,,,
Columba oenas,264541812,Least Concern,Increasing,Animalia,Chordata,Aves,Columbiformes,Columbidae,Columba,,,2.0,,1.0,1.0,1.0,1.0,
Nectria cinnabarina,Not Found,Unknown,Unknown,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Nectriaceae,Nectria,,,,,,,1.0,,
Tringa ochropus,166250734,Least Concern,Unknown,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Tringa,,,,,1.0,,,,
Dipsacus fullonum,Not Found,Unknown,Unknown,Plantae,Tracheophyta,Magnoliopsida,Dipsacales,Caprifoliaceae,Dipsacus,,,1.0,2.0,,7.0,,,
Falco tinnunculus,210515355,Least Concern,Unknown,Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,,,1.0,1.0,,1.0,,3.0,3.0
Pleurotus ostreatus,Not Found,Unknown,Unknown,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Pleurotaceae,Pleurotus,1.0,,,,,,,,
